ID,FAMILY,PAIR,SNPED,SexAN,Gen,Sire,Dam,NURSE,HSfamily,xfostpair,reciprocal,LSB,LSW,SEXR,COLOR$,DOB,SACDATE,DEAD,COHORT,FATPAD,WEIGHTN,TAIL,HEART,KIDNEY,SPLEEN,LIVER,WEEK1,WEEK2,WEEK3,WEEK4,WEEK5,WEEK6,WEEK7,WEEK8,WEEK9,WEEK10,grow12,grow23,grow13,grow16,grow310,grow610,grow14,grow410
827,5,18,Y,F,F3,62,181,112,n,y,,7,12,6,black,35155,35263,15.4285714286,1,1.1681875404,35.2525480778,99.0056440855,0.2115297562,0.2916900543,0.1218607569,2.0227297639,5.7007867395,8.2638250177,11.9870012565,18.4935600948,22.9028593304,23.6452570073,24.8929874044,25.4625201788,27.2274741448,29.3533903545,2.5630382782,3.7231762387,6.2862145169,17.9444702678,17.366389098,5.7081333472,12.7927733552,10.8598302597
832,5,18,Y,M,F3,62,181,112,n,y,,7,12,6,white,35155,35262,15.2857142857,1,1.6452330936,39.927558282,95.7383808966,0.1475744724,0.3289955684,0.1174844255,1.8461574129,5.3025946308,7.5916403155,10.6851962153,17.6029326935,24.4801676822,26.2793206099,28.2535887891,29.3967527278,32.6883972486,32.961484072,2.2890456847,3.0935558998,5.3826015845,20.9767259791,22.2762878567,6.682163462,12.3003380627,15.3585513785
785,6,88,N,M,F3,68,201,201,n,n,,8,8,4,black,35153,35262,15.5714285714,1,1.6988787982,43.8518684066,93.9451609453,0.1668194573,0.3424306562,0.096203846,2.4233500602,6.9829269686,9.0891841012,14.1882533292,22.8748530494,26.8669578552,28.8483969515,31.0541754391,32.4301386623,33.3232957207,34.8421355354,2.1062571326,5.099069228,7.2053263607,21.865469983,20.6538822062,5.9937385839,15.8919260809,11.967282486
786,6,88,N,F,F3,68,201,201,n,n,,8,8,4,black,35153,35263,15.7142857143,1,2.201833245,54.6268582024,103.7324241342,0.1907747411,0.3251251421,0.1205801774,2.8899224112,6.1166740773,8.9291458034,14.6411663704,23.3124804506,29.4496495034,31.6443333489,35.9805740544,39.7589061133,39.5993726169,43.0630418179,2.8124717261,5.712020567,8.5244922932,25.5276592716,28.4218754475,11.418708469,17.1958063734,19.7505613673
787,6,88,N,F,F3,68,201,201,n,n,,8,8,4,white,35153,35263,15.7142857143,1,1.611833245,41.4068582024,95.7624241342,0.1707747411,0.3151251421,0.1305801774,2.0499224112,5.5866750773,8.9769248034,13.2833863704,21.4044804506,27.7166495034,29.3603333489,30.8535740544,32.1359061133,33.5913726169,33.4320418179,3.3902497261,4.306461567,7.6967112932,23.7736582716,20.1486554475,4.071708469,15.8178053734,12.0275613673
788,6,88,N,M,F3,68,201,201,n,n,,8,8,4,black,35153,35262,15.5714285714,1,1.6588787982,44.1718684066,97.6151609453,0.1868194573,0.3024306562,0.106203846,2.2933500602,5.1829259686,8.9347391012,14.1393633292,23.5368530494,28.8239578552,31.7613969515,34.2361754391,36.3621386623,38.1652957207,39.7131355354,3.7518131326,5.204624228,8.9564373607,26.578470983,25.5737722062,7.9517385839,18.3539270809,16.176282486
789,6,88,N,F,F3,68,201,201,n,n,,8,8,4,black,35153,35300,21,1,2.3322215934,45.2214486986,101.2226922523,0.1945806251,0.3461804766,0.0938923166,2.7340557552,5.3955630773,8.6013688034,13.9422763704,21.5164804506,27.5166495034,28.8043333489,31.1915740544,32.9529061133,34.8963726169,34.9690418179,3.2058057261,5.340907567,8.5467132932,23.4087702716,21.0267654475,6.164708469,16.1209173734,13.4525613673
790,6,88,N,F,F3,68,201,201,n,n,,8,8,4,black,35153,35263,15.7142857143,1,1.651833245,42.8868582024,95.7624241342,0.1807747411,0.3751251421,0.1305801774,2.4199224112,5.6688960773,8.7802558034,14.0256063704,22.1734804506,29.1906495034,30.4083333489,32.0285740544,34.8969061133,34.7163726169,35.4580418179,3.1113597261,5.245350567,8.3567102932,24.7394372716,21.4324354475,5.049708469,16.5045843734,13.2845613673
791,6,88,N,M,F3,68,201,201,n,n,,8,8,4,black,35153,35262,15.5714285714,1,2.1188787982,43.8618684066,92.4251609453,0.1668194573,0.3374306562,0.116203846,2.2633500602,5.3540379686,9.2914051012,15.4015833292,22.8288530494,26.0839578552,27.2403969515,29.9911754391,32.3931386623,34.1452957207,36.2891355354,3.9373671326,6.110178228,10.0475453607,21.886358983,20.8875522062,9.0487385839,17.4748150809,13.460282486
792,6,88,N,M,F3,68,201,201,n,n,,8,8,4,black,35153,35305,21.7142857143,1,1.7528436356,42.0628789833,99.8087157853,0.1679992685,0.3879814503,0.0884314673,2.2078834059,5.0984809686,8.7780721012,14.0715833292,21.7568530494,24.3099578552,29.3483969515,31.6861754391,33.9671386623,36.8582957207,38.6681355354,3.6795911326,5.293511228,8.9731023607,24.249915983,24.5965522062,9.3197385839,16.6583720809,16.911282486
581,7,6,Y,F,F3,71,153,153,n,y,,8,8,3,tan,35150,35298,21.1428571429,1,0.5411510082,33.857518712,93.8532400393,0.1841429463,0.3002630532,0.0937115636,2.0257890888,2.7433410773,6.6724788034,8.4100533704,15.5151504506,21.1986495034,22.5723333489,23.3935740544,23.8839061133,25.0073726169,26.8520418179,3.9291377261,1.737574567,5.6667122932,19.8289922716,18.4419884475,4.279708469,12.7718093734,11.3368913673
582,7,6,Y,M,F3,71,153,153,n,y,,8,8,3,black,35150,35305,22.1428571429,1,1.27963188,35.7010890235,92.8603591462,0.136686232,0.2602291801,0.0778892083,1.7530834068,5.0718139686,7.9380721012,10.5349133292,15.7602930494,20.9819578552,21.9043969515,22.6471754391,24.3891386623,25.6372957207,26.5311355354,2.8662581326,2.596841228,5.4630993607,16.832582983,15.9962222062,4.6267385839,10.6884790809,10.770842486
