55,1,-99999,-100000,2
56,1,-99997,-99998,2
57,1,-99995,-99996,2
58,0,-99993,-99994,2
59,1,-99991,-99992,2
60,0,-99989,-99990,2
61,0,-99987,-99988,2
62,1,-99985,-99986,2
63,0,-99983,-99984,2
64,0,-99981,-99982,2
65,0,-99979,-99980,2
66,0,-99977,-99978,2
67,0,-99975,-99976,2
69,1,-99973,-99974,2
70,0,-99971,-99972,2
71,1,-99969,-99970,2
72,1,-99967,-99968,2
73,1,-99965,-99966,2
74,1,-99963,-99964,2
82,1,-99961,-99962,2
83,1,-99959,-99960,2
84,1,-99957,-99958,2
85,1,-99955,-99956,2
86,1,-99953,-99954,2
87,1,-99951,-99952,2
90,1,-99949,-99950,2
91,0,-99947,-99948,2
92,1,-99945,-99946,2
93,1,-99943,-99944,2
94,1,-99941,-99942,2
96,1,-99939,-99940,2
97,0,-99937,-99938,2
98,1,-99935,-99936,2
100,1,-99933,-99934,2
101,0,-99931,-99932,2
102,0,-99929,-99930,2
103,0,-99927,-99928,2
104,0,-99925,-99926,2
105,0,-99923,-99924,2
106,1,-99921,-99922,2
107,1,-99919,-99920,2
108,1,-99917,-99918,2
111,0,-99915,-99916,2
112,0,-99913,-99914,2
113,0,-99911,-99912,2
114,0,-99909,-99910,2
115,1,-99907,-99908,2
116,0,-99905,-99906,2
117,0,-99903,-99904,2
118,1,-99901,-99902,2
120,1,-99899,-99900,2
121,0,-99897,-99898,2
122,1,-99895,-99896,2
123,1,-99893,-99894,2
124,0,-99891,-99892,2
125,1,-99889,-99890,2
126,1,-99887,-99888,2
127,1,-99885,-99886,2
128,0,-99883,-99884,2
129,0,-99881,-99882,2
130,0,-99879,-99880,2
131,1,-99877,-99878,2
132,0,-99875,-99876,2
133,0,-99873,-99874,2
134,0,-99871,-99872,2
135,0,-99869,-99870,2
136,1,-99867,-99868,2
137,0,-99865,-99866,2
138,0,-99863,-99864,2
139,1,-99861,-99862,2
140,1,-99859,-99860,2
141,0,-99857,-99858,2
142,1,-99855,-99856,2
143,1,-99853,-99854,2
144,1,-99851,-99852,2
145,1,-99849,-99850,2
146,1,-99847,-99848,2
148,0,-99845,-99846,2
150,1,-99843,-99844,2
151,0,-99841,-99842,2
152,0,-99839,-99840,2
153,0,-99837,-99838,2
154,1,-99835,-99836,2
155,0,-99833,-99834,2
156,0,-99831,-99832,2
158,1,-99829,-99830,2
159,1,-99827,-99828,2
160,1,-99825,-99826,2
161,1,-99823,-99824,2
162,0,-99821,-99822,2
